id,record_id,utility_id_ferc1,report_year,plant_name_ferc1,fuel_type_code_pudl,fuel_unit,fuel_qty_burned,fuel_mmbtu_per_unit,fuel_cost_per_unit_burned,fuel_cost_per_unit_delivered,fuel_cost_per_mmbtu
480,f1_fuel_1994_12_193_5_9,193,1994,pp-unit 1,coal,ton,2526654.0,16.93,14.97,14.97,0.88417
481,f1_fuel_1994_12_193_5_11,193,1994,plepl prairie-unit 2,gas,mcf,74932.0,1.01,466.628,466.628,2.5130600000000003
482,f1_fuel_1994_12_193_5_12,193,1994,plepl prairie-unit 2,coal,ton,2538331.0,16.875999999999998,12.174,13.174,0.78064
483,f1_fuel_1994_12_193_5_14,193,1994,pl prairie-total,gas,mcf,154410.0,1.01,390.187,390.187,2.58484
484,f1_fuel_1994_12_193_5_15,193,1994,pl prairie-total,coal,ton,5064985.0,16.904,14.07,14.07,0.83238
485,f1_fuel_1994_12_193_7_7,193,1994,oc-1 unit,gas,mcf,4579.0,1.01,1290.325,1290.325,3.4610700000000003
486,f1_fuel_1994_12_193_7_10,193,1994,edgewater-1 unit,coal,ton,339251.0,17.226000000000003,21.715,21.715,1.2606600000000001
487,f1_fuel_1994_12_193_7_13,193,1994,concord-unit 1,gas,mcf,179852.0,1.01,311.161,311.161,2.58176
488,f1_fuel_1994_12_193_7_15,193,1994,concord-unit 1,oil,bbl,993.0,6.04737,3136.455,3136.455,5.433529999999999
489,f1_fuel_1994_12_193_8_1,193,1994,concord-unit 2,gas,mcf,190138.0,1.01,306.403,306.403,2.5657400000000004
490,f1_fuel_1994_12_193_8_4,193,1994,concord-unit 3,gas,mcf,3581.0,1.01,529.827,529.827,2.39274
491,f1_fuel_1994_12_193_8_7,193,1994,cc-unit 4,gas,mcf,6111.0,1.01,223.172,223.172,2.4213
492,f1_fuel_1994_12_193_8_10,193,1994,concord-total,gas,mcf,379682.0,1.01,578.324,578.324,1.29501
493,f1_fuel_1994_12_194_0_1,194,1994,blackhawk unit 3,gas,mcf,34140.0,1.008681,3.56,3.33,3.528
494,f1_fuel_1994_12_194_0_4,194,1994,blackhawk unit 4,gas,mcf,34450.0,1.007122,3.56,3.33,3.534
495,f1_fuel_1994_12_194_0_7,194,1994,blackhawk,gas,mcf,68590.0,1.007898,3.56,3.33,3.531
496,f1_fuel_1994_12_194_0_10,194,1994,columbia i,coal,ton,1604235.0,17.194000000000003,22.94,20.87,1.334
497,f1_fuel_1994_12_194_0_13,194,1994,columbia ii,coal,ton,1950629.0,17.06,18.47,20.87,1.083
498,f1_fuel_1994_12_194_1_7,194,1994,columbia,coal,ton,3554864.0,17.12,20.48,20.87,1.219
499,f1_fuel_1994_12_194_1_10,194,1994,columbiai wpl only,coal,ton,751747.0,17.201999999999998,23.43,20.87,1.362
500,f1_fuel_1994_12_194_1_13,194,1994,columbiaiiwpl only,coal,ton,874571.0,17.068,18.28,20.87,1.071
501,f1_fuel_1994_12_194_2_7,194,1994,columbiaec,coal,ton,1626318.0,17.13,20.66,20.87,1.206
502,f1_fuel_1994_12_194_2_10,194,1994,edgewater unit 3,coal,ton,151845.0,20.227999999999998,35.87,33.52,1.773
503,f1_fuel_1994_12_194_2_12,194,1994,edgewater unit 3,waste,ton,857.0,0.0135,19.99,19.99,0.74
504,f1_fuel_1994_12_194_2_13,194,1994,edgewater unit 4,coal,ton,944382.0,20.264,35.51,33.52,1.752
505,f1_fuel_1994_12_194_2_15,194,1994,edgewater unit 4,waste,ton,4463.0,0.0135,19.99,19.99,0.74
506,f1_fuel_1994_12_194_3_7,194,1994,edgewater,coal,ton,615919.0,20.258000000000003,34.29,33.52,1.693
507,f1_fuel_1994_12_194_3_9,194,1994,edgewater,waste,ton,3080.0,0.0135,19.99,19.99,0.74
508,f1_fuel_1994_12_194_3_10,194,1994,edgewater unit 5,coal,ton,1441583.0,17.233999999999998,21.77,20.05,1.263
509,f1_fuel_1994_12_194_3_13,194,1994,edgewater unit 5,coal,ton,1104303.0,17.233999999999998,21.74,20.05,1.262
510,f1_fuel_1994_12_194_4_7,194,1994,nd unit1,coal,ton,307858.0,19.662,25.53,24.51,1.299
511,f1_fuel_1994_12_194_4_9,194,1994,nd unit1,waste,ton,3519.0,0.013429,3.56,3.66,0.132
512,f1_fuel_1994_12_194_4_10,194,1994,nelson dewey unit 2,coal,ton,301053.0,18.686,25.53,24.51,1.366
513,f1_fuel_1994_12_194_4_12,194,1994,nelson dewey unit 2,waste,ton,3766.0,0.013429,3.55,3.66,0.132
514,f1_fuel_1994_12_194_4_13,194,1994,nelsondewey units1&2,coal,ton,608911.0,19.168,25.53,24.51,1.331
