match.id	match.id.slot	duration.min	radiant.win	num.players	player.slot	kills	deaths	assists	gold.p.min	xp.p.min	isRadiant	win	hero.dmg	hero.heal	last.hits	denies	tower.dmg	runes	obs.set	stuns	first.blood	match.kills
5481754968	5481754968|130	32.32	False	10	130	10	3	18	580	729	False	1	28192	0	230	18	5972	4.0	0.0	0.0	0	62
5481754968	5481754968|131	32.32	False	10	131	7	5	13	290	541	False	1	11365	0	52	1	365	4.0	3.0	71.073135	0	62
5481754968	5481754968|132	32.32	False	10	132	2	7	18	256	458	False	1	11123	400	24	1	261	5.0	12.0	106.96399	0	62
5481772311	5481772311|0	22.23	False	10	0	0	6	6	168	192	True	0	4056	0	14	1	166	0.0	4.0	22.167675	0	30
5481772311	5481772311|1	22.23	False	10	1	4	4	4	221	270	True	0	7222	0	27	5	130	4.0	3.0	17.950737	1	30
5481772311	5481772311|2	22.23	False	10	2	2	2	6	294	351	True	0	14175	260	72	10	334	6.0	2.0	0.0	0	30
5481772311	5481772311|3	22.23	False	10	3	2	4	2	367	391	True	0	9348	1767	126	4	167	1.0	0.0	0.0	0	30
5481772311	5481772311|4	22.23	False	10	4	3	3	1	435	487	True	0	6403	0	160	19	1597	1.0	0.0	0.0	0	30
5481772311	5481772311|128	22.23	False	10	128	2	5	10	364	451	False	1	12424	0	94	6	269	4.0	1.0	23.9239	0	30
5481772311	5481772311|129	22.23	False	10	129	4	3	6	527	593	False	1	14850	0	175	24	3309	2.0	1.0	42.28164	0	30
5481772311	5481772311|130	22.23	False	10	130	5	3	8	264	324	False	1	7022	0	17	0	0	3.0	7.0	82.65421	0	30
5481772311	5481772311|131	22.23	False	10	131	7	0	8	558	596	False	1	14429	0	176	3	5704	0.0	0.0	0.0	0	30
5481772311	5481772311|132	22.23	False	10	132	1	1	11	249	345	False	1	5668	0	26	1	16	5.0	2.0	37.76497	0	30
5481801088	5481801088|0	33.1	False	10	0	1	6	7	435	534	True	0	9290	0	250	15	2719	0.0	0.0	6.0985107	0	43
5481801088	5481801088|1	33.1	False	10	1	2	7	8	396	418	True	0	13565	5120	206	13	1010	6.0	0.0	0.0	0	43
5481801088	5481801088|2	33.1	False	10	2	4	4	11	215	400	True	0	15839	0	32	7	59	6.0	5.0	32.877586	0	43
5481801088	5481801088|3	33.1	False	10	3	8	4	1	472	591	True	0	23162	0	230	31	2165	4.0	1.0	0.5665283	0	43
5481801088	5481801088|4	33.1	False	10	4	1	6	9	254	272	True	0	11650	52	42	4	0	2.0	9.0	30.194275	0	43
5481801088	5481801088|128	33.1	False	10	128	4	4	14	485	739	False	1	14435	0	222	9	3440	2.0	0.0	44.143066	0	43
5481801088	5481801088|129	33.1	False	10	129	6	5	9	498	670	False	1	19498	0	259	6	2387	13.0	0.0	5.01709	0	43
5481801088	5481801088|130	33.1	False	10	130	11	4	5	593	726	False	1	20290	0	239	4	996	5.0	2.0	5.5856934	1	43
5481801088	5481801088|131	33.1	False	10	131	4	1	18	424	604	False	1	10238	2851	165	2	339	2.0	5.0	28.307798	0	43
5481801088	5481801088|132	33.1	False	10	132	2	3	18	298	469	False	1	9256	4724	44	3	0	3.0	8.0	30.440918	0	43
5481809421	5481809421|0	36.13	True	10	0	4	7	17	279	455	True	1	11585	400	25	2	1361	1.0	12.0	24.824585	0	60
5481809421	5481809421|1	36.13	True	10	1	8	6	15	298	506	True	1	20373	0	48	4	296	4.0	2.0	0.0	0	60
5481809421	5481809421|2	36.13	True	10	2	5	4	20	576	730	True	1	17916	0	289	11	12329	4.0	2.0	70.12671	0	60
5481809421	5481809421|3	36.13	True	10	3	5	3	19	435	539	True	1	14628	3000	169	5	3664	4.0	1.0	43.85681	0	60
5481809421	5481809421|4	36.13	True	10	4	17	1	16	572	632	True	1	34692	0	231	15	8164	1.0	0.0	0.0	0	60
5481809421	5481809421|128	36.13	True	10	128	2	11	9	320	358	False	0	12027	245	144	15	0	4.0	0.0	0.0	0	60
5481809421	5481809421|129	36.13	True	10	129	9	5	4	547	609	False	0	30740	0	298	15	1100	17.0	2.0	7.5498047	0	60
5481809421	5481809421|130	36.13	True	10	130	4	10	7	206	210	False	0	10498	775	16	2	268	2.0	13.0	62.244034	1	60
5481809421	5481809421|131	36.13	True	10	131	3	4	4	494	529	False	0	11737	3332	290	11	2120	2.0	1.0	0.0	0	60
5481809421	5481809421|132	36.13	True	10	132	2	9	12	188	260	False	0	8001	169	25	3	59	8.0	2.0	24.41118	0	60
5544713691	5544713691|0	32.83	True	10	0	12	2	18	589	792	True	1	33553	125	213	6	691	14.0	1.0	74.73728	1	60
5544713691	5544713691|1	32.83	True	10	1	7	7	29	358	500	True	1	14046	400	30	9	0	3.0	8.0	30.268723	0	60
5544713691	5544713691|2	32.83	True	10	2	14	1	10	788	857	True	1	27304	0	318	38	14884	4.0	0.0	0.0	0	60
5544713691	5544713691|3	32.83	True	10	3	4	5	22	370	504	True	1	11818	800	87	3	126	4.0	6.0	37.515827	0	60
5544713691	5544713691|4	32.83	True	10	4	4	4	24	371	569	True	1	18173	400	80	2	502	3.0	1.0	69.178	0	60
5544713691	5544713691|128	32.83	True	10	128	1	9	6	213	251	False	0	9846	0	46	2	539	3.0	12.0	31.49121	0	60
5544713691	5544713691|129	32.83	True	10	129	3	9	11	204	284	False	0	10011	0	26	1	0	4.0	2.0	25.523191	0	60
