year,country,region,pf_ss_women_fgm,pf_ss_women_inheritance,pf_movement_women,pf_identity_sex_female,pf_identity_divorce,pf_score,ef_score,hf_score,sex,age,suicides_no,population,suicides_p100k,gdp_per_capita
2016,Lithuania,Eastern Europe,10,10,10,10,10,8.821338926,7.86,8.340669463,female,25-34,8,182632,4.38,15742
2016,Lithuania,Eastern Europe,10,10,10,10,10,8.821338926,7.86,8.340669463,female,15-24,6,168917,3.55,15742
2016,Mauritius,Sub-Saharan Africa,10,5,10,0,5,7.717465632,8.01,7.863732816,male,25-34,17,87701,19.38,10570
2016,Mauritius,Sub-Saharan Africa,10,5,10,0,5,7.717465632,8.01,7.863732816,male,75+,3,15754,19.04,10570
2016,Mauritius,Sub-Saharan Africa,10,5,10,0,5,7.717465632,8.01,7.863732816,male,15-24,18,96372,18.68,10570
2016,Mauritius,Sub-Saharan Africa,10,5,10,0,5,7.717465632,8.01,7.863732816,male,35-54,33,180530,18.28,10570
2016,Mauritius,Sub-Saharan Africa,10,5,10,0,5,7.717465632,8.01,7.863732816,male,55-74,12,107902,11.12,10570
2016,Mauritius,Sub-Saharan Africa,10,5,10,0,5,7.717465632,8.01,7.863732816,female,15-24,4,94001,4.26,10570
2016,Mauritius,Sub-Saharan Africa,10,5,10,0,5,7.717465632,8.01,7.863732816,female,25-34,3,85747,3.5,10570
2016,Mauritius,Sub-Saharan Africa,10,5,10,0,5,7.717465632,8.01,7.863732816,female,35-54,6,177524,3.38,10570
2016,Mauritius,Sub-Saharan Africa,10,5,10,0,5,7.717465632,8.01,7.863732816,female,55-74,2,120603,1.66,10570
2016,Mauritius,Sub-Saharan Africa,10,5,10,0,5,7.717465632,8.01,7.863732816,female,75+,0,26298,0,10570
2016,Mongolia,East Asia,10,10,10,10,10,7.998312553,7.4,7.699156277,male,25-34,127,290660,43.69,4145
2016,Mongolia,East Asia,10,10,10,10,10,7.998312553,7.4,7.699156277,male,35-54,127,375631,33.81,4145
2016,Mongolia,East Asia,10,10,10,10,10,7.998312553,7.4,7.699156277,male,15-24,85,252851,33.62,4145
2016,Mongolia,East Asia,10,10,10,10,10,7.998312553,7.4,7.699156277,male,55-74,29,113527,25.54,4145
2016,Mongolia,East Asia,10,10,10,10,10,7.998312553,7.4,7.699156277,male,75+,3,15349,19.55,4145
2016,Mongolia,East Asia,10,10,10,10,10,7.998312553,7.4,7.699156277,female,75+,3,26305,11.4,4145
2016,Mongolia,East Asia,10,10,10,10,10,7.998312553,7.4,7.699156277,female,15-24,18,246805,7.29,4145
2016,Mongolia,East Asia,10,10,10,10,10,7.998312553,7.4,7.699156277,female,25-34,15,292237,5.13,4145
2016,Mongolia,East Asia,10,10,10,10,10,7.998312553,7.4,7.699156277,female,35-54,15,406028,3.69,4145
2016,Mongolia,East Asia,10,10,10,10,10,7.998312553,7.4,7.699156277,female,55-74,1,148196,0.67,4145
2016,Netherlands,Western Europe,10,10,10,10,10,9.39884236,7.71,8.55442118,male,75+,123,541327,22.72,48108
2016,Netherlands,Western Europe,10,10,10,10,10,9.39884236,7.71,8.55442118,male,55-74,436,2004642,21.75,48108
2016,Netherlands,Western Europe,10,10,10,10,10,9.39884236,7.71,8.55442118,male,35-54,478,2341693,20.41,48108
2016,Netherlands,Western Europe,10,10,10,10,10,9.39884236,7.71,8.55442118,male,25-34,159,1061905,14.97,48108
2016,Netherlands,Western Europe,10,10,10,10,10,9.39884236,7.71,8.55442118,female,75+,87,781301,11.14,48108
2016,Netherlands,Western Europe,10,10,10,10,10,9.39884236,7.71,8.55442118,female,55-74,209,2037375,10.26,48108
2016,Netherlands,Western Europe,10,10,10,10,10,9.39884236,7.71,8.55442118,female,35-54,217,2334777,9.29,48108
2016,Netherlands,Western Europe,10,10,10,10,10,9.39884236,7.71,8.55442118,male,15-24,77,1067719,7.21,48108
2016,Netherlands,Western Europe,10,10,10,10,10,9.39884236,7.71,8.55442118,female,25-34,65,1043372,6.23,48108
2016,Netherlands,Western Europe,10,10,10,10,10,9.39884236,7.71,8.55442118,female,15-24,35,1025443,3.41,48108
2016,Qatar,Middle East & North Africa,10,0,0,0,0,5.525552977,7.49,6.507776488,male,15-24,13,293525,4.43,62484
2016,Qatar,Middle East & North Africa,10,0,0,0,0,5.525552977,7.49,6.507776488,male,35-54,27,675747,4,62484
2016,Qatar,Middle East & North Africa,10,0,0,0,0,5.525552977,7.49,6.507776488,male,25-34,21,676108,3.11,62484
2016,Qatar,Middle East & North Africa,10,0,0,0,0,5.525552977,7.49,6.507776488,male,55-74,2,99266,2.01,62484
2016,Qatar,Middle East & North Africa,10,0,0,0,0,5.525552977,7.49,6.507776488,female,35-54,3,179374,1.67,62484
2016,Qatar,Middle East & North Africa,10,0,0,0,0,5.525552977,7.49,6.507776488,female,25-34,2,164901,1.21,62484
2016,Qatar,Middle East & North Africa,10,0,0,0,0,5.525552977,7.49,6.507776488,female,15-24,0,88675,0,62484
2016,Qatar,Middle East & North Africa,10,0,0,0,0,5.525552977,7.49,6.507776488,female,55-74,0,26182,0,62484
2016,Qatar,Middle East & North Africa,10,0,0,0,0,5.525552977,7.49,6.507776488,female,75+,0,3250,0,62484
2016,Qatar,Middle East & North Africa,10,0,0,0,0,5.525552977,7.49,6.507776488,male,75+,0,6093,0,62484
2016,Romania,Eastern Europe,10,10,10,10,10,8.653232499,7.69,8.171616249,male,55-74,615,2068747,29.73,10020
2016,Romania,Eastern Europe,10,10,10,10,10,8.653232499,7.69,8.171616249,male,75+,171,579838,29.49,10020
2016,Romania,Eastern Europe,10,10,10,10,10,8.653232499,7.69,8.171616249,male,35-54,632,2945568,21.46,10020
2016,Romania,Eastern Europe,10,10,10,10,10,8.653232499,7.69,8.171616249,male,25-34,134,1359178,9.86,10020
2016,Romania,Eastern Europe,10,10,10,10,10,8.653232499,7.69,8.171616249,male,15-24,91,1101638,8.26,10020
2016,Romania,Eastern Europe,10,10,10,10,10,8.653232499,7.69,8.171616249,female,75+,61,997868,6.11,10020
2016,Romania,Eastern Europe,10,10,10,10,10,8.653232499,7.69,8.171616249,female,55-74,112,2462909,4.55,10020
2016,Romania,Eastern Europe,10,10,10,10,10,8.653232499,7.69,8.171616249,female,35-54,96,2823207,3.4,10020
2016,Romania,Eastern Europe,10,10,10,10,10,8.653232499,7.69,8.171616249,female,25-34,27,1264645,2.13,10020
2016,Romania,Eastern Europe,10,10,10,10,10,8.653232499,7.69,8.171616249,female,15-24,14,1041307,1.34,10020
